"0047ca4f-edca-49d0-8aea-065820d3c8b2"	"ku"	"214723"	"claude, 14.5 mi s"	34.90133	-101.36278	"united states"	"texas"	"armstrong"	NA	NA	"rosaceae"	"cercocarpus"	"montanus"	NA	"cercocarpus montanus"
"004ca000-ba0f-4af4-ac9b-af63dcc716d2"	"asu"	NA	"plants of the santa teresa mountains. copper canyon. just past tule canyon."	32.9546	-110.318	"united states"	"arizona"	"graham county"	NA	NA	"rosaceae"	"cercocarpus"	"montanus"	NA	"cercocarpus montanus"
"00a1a5ac-9a6d-4db1-aad5-e26d3d8caf66"	"asu"	NA	"ariz. 70, 17 miles northeast of salt river canyon bridge or 11.9 miles southwest of cibicue intersection."	33.7691	-110.688	"united states"	"arizona"	"gila county"	NA	NA	"rosaceae"	"cercocarpus"	"montanus"	NA	"cercocarpus montanus"
"016cda3a-056a-4ad0-8660-d68b0567f6d4"	"ny"	"848812"	"beaver dam mountains, above the apex mine"	37.08	-113.82	"united states"	"utah"	"washington co."	NA	NA	"rosaceae"	"cercocarpus"	"montanus"	"montanus"	"cercocarpus montanus raf. var. montanus"
"01de818d-ad79-4ffc-9ea9-d18d450ef558"	"ny"	"848780"	"wah-wah mountains summit, near bench mark"	38.36	-113.6	"united states"	"utah"	"beaver co."	NA	NA	"rosaceae"	"cercocarpus"	"montanus"	NA	"cercocarpus montanus raf."
"030ed428-c96b-4b83-96a7-f8744f1626e2"	"uconn"	"conn00143687"	"colorado"	39.54611	-105.77694	"united states"	"colorado"	NA	NA	NA	"rosaceae"	"cercocarpus"	"montanus"	NA	"cercocarpus montanus raf."
"0350da36-75cc-4935-9f30-417f0f8250b8"	"asc"	"5652"	"black mesa w of salina"	36.025833	-109.871389	"united states"	"arizona"	"apache county"	NA	10000	"rosaceae"	"cercocarpus"	"montanus"	"montanus"	"cercocarpus montanus var. montanus"
"03ee1cb2-e571-4e0f-81fc-0e438d430fcc"	"asu"	NA	"marijilda canyon, pinaleno mountains approx. 0.3 km south of lower picnic grounds."	33.3761	-110.753	"united states"	"arizona"	"gila county"	NA	NA	"rosaceae"	"cercocarpus"	"montanus"	NA	"cercocarpus montanus"
"04cea08a-f736-4786-9cdc-7c2c625816bc"	"des"	"des00012547"	"bryce canyon national park."	37.6159335	-112.1742127	"united states"	"utah"	"garfield"	NA	4000	"rosaceae"	"cercocarpus"	"montanus"	NA	"cercocarpus montanus"
"05f180eb-6fc6-4f3c-9db0-ba650de14de8"	"obi"	"obi10205"	"cyn behind white\'s cove"	33.3896	-118.3734	"united states"	"california"	"los angeles"	NA	800	"rosaceae"	"cercocarpus"	"montanus"	"glaber"	"cercocarpus montanus var. glaber"
