"00756e56-8303-4b2f-8a90-cba42b0343f1"	"cas"	"660492"	"slope below hwy 195 in the vicinity of clinica yerba buena."	17.5	-92.6666666667	"mexico"	"chiapas"	"pueblo nuevo solistahuacan municipio"	NA	NA	"caprifoliaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis  l."
"01507e2a-8f69-4403-a1f7-465462b9ed9e"	"ku"	"91019"	"valley falls, 1 mi s, 3 mi e"	39.32882	-95.40403	"united states"	"kansas"	"jefferson"	NA	NA	"caprifoliaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis"
"0271db34-3265-4d18-b476-8a311b05bc5b"	"ku"	"90994"	"hill city 14.0mi s"	39.16371	-99.84569	"united states"	"kansas"	"graham"	NA	NA	"caprifoliaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis"
"03e6d8c1-4c4d-4944-9409-1e8e431323e0"	"ku"	"91064"	"t2s, r21e, sec 23, n central part"	39.863	-95.0306	"united states"	"kansas"	"doniphan"	NA	NA	"caprifoliaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis"
"0472a81d-f543-464b-900d-076ba15b8d1a"	"iac"	"1372"	"ithaca"	42.45	-76.4667	"united states"	"new york"	NA	"tompkins county"	NA	"adoxaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis"
"05891f55-d71a-40aa-8875-665ac2960b6e"	"ku"	"91080"	"lawrence, 1 mi e"	38.97167	-95.2166	"united states"	"kansas"	"douglas"	NA	NA	"caprifoliaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis"
"060878bc-88e7-4195-a559-73b74535b3d1"	"ypm"	"cbs.034354"	NA	41.6049	-72.88	"united states"	"connecticut"	"hartford county"	"southington"	7725	"adoxaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis"
"06670ac5-8b75-4959-8843-f1c4e9bdb9f4"	"uconn"	"conn00090097"	"east haddam"	41.46888	-72.46583	"united states"	"connecticut"	"middlesex county"	"east haddam"	1	"adoxaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis l."
"06d74ac8-96c9-4129-aa60-fed4e5fc47f1"	"ny"	"435643"	"town of philipstown, constitution island"	41.4	-73.95	"united states"	"new york"	"putnam co."	NA	NA	"caprifoliaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis l."
"070d9d74-d02b-42c7-bc73-7eb06414aacd"	"uconn"	"conn00090160"	"seat pleasant (chesapeake junction)"	38.89611	-76.90666	"united states"	"maryland"	"prince george's county"	"seat pleasant"	5000	"adoxaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis l."
"08390e81-5c8a-4143-8072-6b0e037edb37"	"ku"	"91111"	"baldwin ca 3.0mi n"	38.81842	-95.18604	"united states"	"kansas"	"douglas"	NA	NA	"caprifoliaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis"
"085e43c7-23a6-4181-bcb3-320f9de98ac7"	"ku"	"90967"	"oskaloosa, 0.8 mi w"	39.215279	-95.327468	"united states"	"kansas"	"jefferson"	NA	NA	"caprifoliaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis"
"09c1350b-754b-47ec-be30-a8ff634c9bc3"	"uconn"	"conn00084206"	"university of connecticut, east side of chemistry building, on swan lake"	41.80916	-72.25361	"united states"	"connecticut"	"tolland county"	"mansfield, storrs"	5000	"adoxaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis l."
"0a4b2ccf-0d42-4ab0-8a0f-77dae0ab24d4"	"ku"	"91033"	"diamond springs 2.0mi w"	38.58194	-96.74208	"united states"	"kansas"	"morris"	NA	NA	"caprifoliaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis"
"0be4fb1d-9ced-4beb-955e-4d5872e396a3"	"ku"	"352207"	"bartlett, 0.3 mi ene"	40.891	-95.8035	"united states"	"iowa"	"fremont"	NA	NA	"caprifoliaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis"
"0c168bea-2a87-4377-a699-96b96ee93b9c"	"ku"	"90969"	"oberlin 2.0mi n"	39.85108	-100.52795	"united states"	"kansas"	"decatur"	NA	NA	"caprifoliaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis"
"0d9a068e-8ab8-4fd5-86d8-e498273afc7e"	"ku"	"311487"	"welda, 5 mi n, 1.5 mi e"	38.245024	-95.255131	"united states"	"kansas"	"anderson"	NA	NA	"caprifoliaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis"
"0ee5b12e-f78a-4e8c-8f83-fe95b936fc91"	"ills"	NA	"blodgett dolomite prairie natural area in the des plaines state conservation area. along the west side of interstate 55, north of grant creek, and north of high power lines right-of-way. grand prairie section of the grand prairie natural division. coordinate datum: wgs84/nad83."	41.38882	-88.19576	"united states"	"illinois"	"will"	NA	NA	"caprifoliaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis"
"0ef7627b-a9d3-4865-a4ad-a9903744180c"	"utc"	"utc00232826"	"cultivated ; main ammo area."	40.5136111	-112.4236111	"united states"	"utah"	"tooele"	NA	NA	"caprifoliaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis"
"0fad0ea2-c398-4f67-a7fd-31bee128a23c"	"ku"	"91047"	"kingman, 1 mi n, 9 mi w"	37.65551	-98.20974	"united states"	"kansas"	"kingman"	NA	NA	"caprifoliaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis"
"107727bd-c7a3-4523-a5c8-4331002d0171"	"ku"	"91011"	"holton, 1 mi n, 2.5 mi e"	39.47976	-95.68942	"united states"	"kansas"	"jackson"	NA	NA	"caprifoliaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis"
"10897ccb-eece-424a-aa35-a86308ae3f24"	"ku"	"90974"	"unknown"	38.65202	-95.72618	"united states"	"kansas"	"osage"	NA	NA	"caprifoliaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis"
"10fb6705-752b-4240-9769-f918aea50e43"	"uconn"	"conn00076698"	"parker farm"	41.58277	-73.20416	"united states"	"connecticut"	"litchfield county"	"woodbury"	5000	"adoxaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis l."
"11a82181-a01c-40ae-a871-4317e5e90c85"	"ku"	"91063"	"ft leavenworth military reservation"	39.35004	-94.93104	"united states"	"kansas"	"leavenworth"	NA	NA	"caprifoliaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis"
"127444e4-8242-4bec-84c2-382653fec8f7"	"asu"	"asu0038987"	"sierra bahoruco, monteada nueva (of polo)."	18.091002	-71.278698	"dominican republic"	"barahona"	NA	NA	6000	"caprifoliaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis"
"12c6d0cf-431b-4a47-9d5c-10efdf0eeb9e"	"ku"	"393921"	"100 m w of trego road on s side of 2000 road"	38.31703	-95.1526	"united states"	"kansas"	"anderson"	NA	NA	"caprifoliaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis"
"12ee0494-c8c8-4cd9-8f59-fa9be3aa7348"	"ku"	"91083"	"meade county state park"	37.16803	-100.443098	"united states"	"kansas"	"meade"	NA	NA	"caprifoliaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis"
"12f81dd7-9d9d-4efd-b799-a7c98af78d7c"	"uconn"	"conn00165448"	"rockland"	42.13055	-79.91611	"united states"	"massachusetts"	"plymouth county"	"rockland"	5000	"adoxaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis l."
"161c9a55-570d-413f-b743-0b7b3a5565fa"	"dbg"	"khd00040222"	"cook county forest preserve district, thorn creek division, zanders woods"	41.56383	-87.596401	"united states"	"illinois"	"cook"	NA	2289	"adoxaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis"
"1720e1d4-6960-4df8-92a1-6a73b609851f"	"uconn"	"conn00090090"	"farmington river"	41.91222	-72.98833	"united states"	"connecticut"	"litchfield county"	"barkhamsted, pleasant valley"	4	"adoxaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis l."
"17315166-7f96-4733-a4fe-bb5e2ebbcb5e"	"uconn"	"conn00054907"	"combs ave near thomas st."	40.58333	-74.14972	"united states"	"new york"	"richmond county"	NA	NA	"adoxaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis l."
"1816bf70-8086-425d-8621-4bdc57c9baf1"	"iac"	"7471"	"iac, fazenda santa elisa, seção de fumo"	-22.9056	-47.0608	"brasil"	"são paulo"	NA	"campinas"	NA	"adoxaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis"
"1979b727-fdd2-4cbc-9267-e47c1f0154af"	"ny"	"1216787"	"state game lands no. 28, e shore of spring creek, 0.5 mi n of intersection of fs 130/big run rd. and sr 3002, s of inholding boundary"	41.4236	-78.9517	"united states"	"pennsylvania"	"elk co."	NA	NA	"caprifoliaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis l."
"19e7d0b7-8123-4120-9676-bf29b3b40df9"	"ku"	"90964"	"saffordville, 1 mi s"	38.38552	-96.39278	"united states"	"kansas"	"chase"	NA	NA	"caprifoliaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis"
"1a505e2f-beae-40d5-8d2f-fc3c6976a5e6"	"uconn"	"conn00090161"	"within the boundaries of the national arboretum."	38.9125	-76.96972	"united states"	"washington, d.c."	"national arboretum"	NA	5000	"adoxaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis l."
"1b803bed-c068-44be-a88f-474963646173"	"ufpr"	"77479"	"babcock preservation."	44.2183333	-72.4	"united states"	"vermont"	NA	"lamoille"	NA	"adoxaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis"
"1bb786ae-8a51-4dee-913a-a550f29a2c6b"	"iac"	"3429"	"iac, estação experimental"	-21.1858	-48.9072	"brasil"	"são paulo"	NA	"pindorama"	NA	"adoxaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis"
"1bc970dd-39dd-4cba-84ed-e9f7b9c081a2"	"ku"	"91059"	"unknown"	38.452151	-96.15	"united states"	"kansas"	"lyon"	NA	NA	"caprifoliaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis"
"1c7eaeed-4f29-4281-9d89-14ce00eec4ab"	"uconn"	"conn00057042"	NA	41.78833	-72.22944	"united states"	"connecticut"	"tolland county"	"mansfield"	20000	"adoxaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis l."
"1d3f73b8-fd82-4893-b0d4-7180392f42e1"	"uconn"	"conn00090104"	"marsh rd., willington"	41.88527	-72.26138	"united states"	"connecticut"	"tolland county"	"willington"	5000	"adoxaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis l."
"1f4fa19c-dfa8-4e18-87e3-68b638615b74"	"fsu"	"000003090"	"2.7 miles e of providence."	30.003882	-82.502236	"united states"	"florida"	"union"	NA	NA	"adoxaceae"	"sambucus"	"canadensis"	NA	"sambucus  canadensis"
"1f94fd31-955e-4578-816b-7873af30ede8"	"ku"	"112738"	"webber, 4 mi n, 1.5 mi e"	39.99036	-98.070469	"united states"	"kansas"	"jewell"	NA	NA	"caprifoliaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis"
"2037a228-9957-4a85-8a2d-213c71bf1523"	"uconn"	"conn00090163"	"newton"	42.33333	-71.21666	"united states"	"massachusetts"	"middlesex county"	"newton"	20000	"adoxaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis l."
"20598d78-6729-4ab3-8f23-e10751a1df82"	"ku"	"91112"	"neal 2.6mi e"	37.83297	-96.03202	"united states"	"kansas"	"greenwood"	NA	NA	"caprifoliaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis"
"21397b0e-82c8-4f4f-998b-1fb69a3bfade"	"ku"	"91068"	"rossville 1.7mi n"	39.1623	-95.95174	"united states"	"kansas"	"shawnee"	NA	NA	"caprifoliaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis"
"21bf0004-edae-48cd-932c-4b772e2907f6"	"ku"	"91025"	"butler county state lake area"	37.70736	-97.05537	"united states"	"kansas"	"butler"	NA	NA	"caprifoliaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis"
"21dea1c5-d7be-457b-9cc2-ae1ea723f488"	"ku"	"354642"	"allison, 0.7 mi n, 3.5 mi e"	42.7692	-92.7269	"united states"	"iowa"	"butler"	NA	NA	"caprifoliaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis"
"242985e1-2a07-45f0-8755-4bebba434769"	"ku"	"115535"	"fontana, 2.5 mi e"	38.422162	-94.795657	"united states"	"kansas"	"miami"	NA	NA	"caprifoliaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis"
"243a417c-657a-401e-9f17-c7ee951cbeab"	"dbg"	"khd00040223"	"forest preserve district, thorn creek division, jurgensen woods."	41.556351	-87.593719	"united states"	"illinois"	"cook"	NA	1352	"adoxaceae"	"sambucus"	"canadensis"	NA	"sambucus canadensis"
