id	h_species	h_genus	h_family	i_species	i_genus	i_tribe	i_family	i_family_id	i_tribe_id	i_genus_id	i_species_id	h_family_id	h_genus_id	h_species_id	coll_total_i	coll_number_same_h	coll_percent	h_n_specimens	i_j_h_col_event	i_j_same_col	h_voucher	rel_confidence
454	marianum	Sylibum	Asteraceae	punctatus	Lygus	Mirini	Miridae	6296	8151	8152	41123	98	7766	9120	103	1	0.97	1	0	0	0	LOW
455	contorta	Pinus	Pinaceae	diffusus	Pilophorus	Pilophorini	Miridae	6296	6293	6127	4539	62	554	707	76	33	43.42	18	0	0	0	HIGH
456	contorta	Pinus	Pinaceae	americanus	Pilophorus	Pilophorini	Miridae	6296	6293	6127	4503	62	554	707	239	109	45.61	56	0	0	0	HIGH
457	amygdaloides	Salix	Salicaceae	ornatus	Orthotylus	Orthotylini	Miridae	6296	6291	6088	2021	382	583	647	49	2	4.08	1	0	0	0	LOW
458	scoparia	Bassia	Amaranthaceae	associatus	Chlamydatus	Phylini	Miridae	6296	6292	5807	84	83	1532	906	947	1	0.11	1	0	0	0	LOW
459	glauca	Picea	Pinaceae	piceicola	Psallovius	Phylini	Miridae	6296	6292	6153	4788	62	553	760	306	27	8.82	3	0	0	0	MEDIUM
460	sylvestris	Pinus	Pinaceae	piceicola	Psallovius	Phylini	Miridae	6296	6292	6153	4788	62	554	932	306	5	1.63	1	0	0	0	LOW
461	pungens	Picea	Pinaceae	piceicola	Psallovius	Phylini	Miridae	6296	6292	6153	4788	62	553	8724	306	16	5.23	3	0	0	0	MEDIUM
462	sylvestris	Pinus	Pinaceae	rostratus	Phoenicocoris	Phylini	Miridae	6296	6292	6119	228	62	554	932	220	16	7.27	2	0	0	0	MEDIUM
463	alba	Populus	Salicaceae	angulatus	Orthotylus	Orthotylini	Miridae	6296	6291	6088	1798	382	563	9886	46	1	2.17	3	0	0	0	LOW
464	glauca	Picea	Pinaceae	pennsylvanicus	Orthotylus	Orthotylini	Miridae	6296	6291	6088	2035	62	553	760	36	8	22.22	5	0	0	0	HIGH
465	alba	Populus	Salicaceae	neoclavatus	Pilophorus	Pilophorini	Miridae	6296	6293	6127	4581	382	563	9886	88	1	1.14	1	0	0	0	LOW
466	bursa-pastoris	Capsella	Brassicaceae	coagulatus	Melanotrichus	Orthotylini	Miridae	6296	6291	6029	34915	114	437	678	331	2	0.60	1	0	0	0	LOW
467	scoparia	Bassia	Amaranthaceae	onustus	Atomoscelis	Phylini	Miridae	6296	6292	5747	38	83	1532	906	552	3	0.54	4	0	0	0	LOW
