id	h_species	h_genus	h_family	i_species	i_genus	i_tribe	i_family	i_family_id	i_tribe_id	i_genus_id	i_species_id	h_family_id	h_genus_id	h_species_id	coll_total_i	coll_number_same_h	coll_percent	h_n_specimens	i_j_h_col_event	i_j_same_col	h_voucher	rel_confidence
455	contorta	Pinus	Pinaceae	diffusus	Pilophorus	Pilophorini	Miridae	6296	6293	6127	4539	62	554	707	76	33	43.42	18	0	0	0	HIGH
456	contorta	Pinus	Pinaceae	americanus	Pilophorus	Pilophorini	Miridae	6296	6293	6127	4503	62	554	707	239	109	45.61	56	0	0	0	HIGH
459	glauca	Picea	Pinaceae	piceicola	Psallovius	Phylini	Miridae	6296	6292	6153	4788	62	553	760	306	27	8.82	3	0	0	0	MEDIUM
461	pungens	Picea	Pinaceae	piceicola	Psallovius	Phylini	Miridae	6296	6292	6153	4788	62	553	8724	306	16	5.23	3	0	0	0	MEDIUM
462	sylvestris	Pinus	Pinaceae	rostratus	Phoenicocoris	Phylini	Miridae	6296	6292	6119	228	62	554	932	220	16	7.27	2	0	0	0	MEDIUM
464	glauca	Picea	Pinaceae	pennsylvanicus	Orthotylus	Orthotylini	Miridae	6296	6291	6088	2035	62	553	760	36	8	22.22	5	0	0	0	HIGH
468	fruticosa	Potentilla	Rosaceae	fuscipes	Plagiognathus	Phylini	Miridae	6296	6292	6132	329	376	564	752	55	20	36.36	5	0	0	0	HIGH
470	glauca	Picea	Pinaceae	latifrons	Dichrooscytus	Mirini	Miridae	6296	8151	36459	73518	62	553	760	169	36	21.30	3	0	0	0	HIGH
472	frigida	Artemisia	Asteraceae	decolor	Europiella	Phylini	Miridae	6296	6292	5876	34	98	418	751	732	17	2.32	4	0	0	0	MEDIUM
473	contorta	Pinus	Pinaceae	longirostris	Phoenicocoris	Phylini	Miridae	6296	6292	6119	225	62	554	707	121	68	56.20	4	0	0	0	HIGH
474	contorta	Pinus	Pinaceae	rostratus	Phoenicocoris	Phylini	Miridae	6296	6292	6119	228	62	554	707	220	52	23.64	5	0	0	0	HIGH
476	argenteus	Lupinus	Fabaceae	obliquus	Chlamydatus	Phylini	Miridae	6296	6292	5807	93	211	527	659	207	5	2.42	1	0	0	0	MEDIUM
479	boreale	Galium	Rubiaceae	saliens	Criocoris	Phylini	Miridae	6296	6292	5827	3457	377	1217	8785	230	32	13.91	4	0	1	0	MEDIUM
481	glauca	Picea	Pinaceae	keltoni	Piceophylus	Phylini	Miridae	6296	6292	6124	555	62	553	760	39	6	15.38	2	0	0	0	HIGH
485	tremuloides	Populus	Salicaceae	candidatus	Orthotylus	Orthotylini	Miridae	6296	6291	6088	1837	382	563	945	40	5	12.50	4	0	0	0	MEDIUM
487	interior	Salix	Salicaceae	fuscicornis	Orthotylus	Orthotylini	Miridae	6296	6291	6088	1913	382	583	786	24	7	29.17	3	0	0	0	HIGH
491	contorta	Pinus	Pinaceae	rostratus	Dichrooscytus	Mirini	Miridae	6296	8151	36459	73508	62	554	707	56	26	46.43	26	0	0	0	HIGH
494	bebbiana	Salix	Salicaceae	aethiops	Psallus	Phylini	Miridae	6296	6292	6154	378	382	583	4828	218	6	2.75	2	0	0	0	MEDIUM
496	frigida	Artemisia	Asteraceae	sericatus	Pseudopsallus	Orthotylini	Miridae	6296	6291	6165	2389	98	418	751	58	5	8.62	22	0	0	0	MEDIUM
497	bebbiana	Salix	Salicaceae	dorsalis	Orthotylus	Orthotylini	Miridae	6296	6291	6088	1885	382	583	4828	154	9	5.84	3	0	0	0	MEDIUM
502	sophia	Descurainia	Brassicaceae	albocostatus	Melanotrichus	Orthotylini	Miridae	6296	6291	6029	34913	114	5380	5383	173	4	2.31	3	0	0	0	MEDIUM
503	erecta	Suaeda	Amaranthaceae	leviculus	Melanotrichus	Orthotylini	Miridae	6296	6291	6029	34916	83	600	739	38	6	15.79	2	0	0	0	HIGH
506	bebbiana	Salix	Salicaceae	annexa	Lygidea	Mirini	Miridae	6296	8151	52789	52797	382	583	4828	103	4	3.88	1	0	0	0	MEDIUM
511	canadensis	Shepherdia	Elaeagnaceae	flavidus	Plagiognathus	Phylini	Miridae	6296	6292	6132	322	197	590	8607	21	4	19.05	2	0	0	0	MEDIUM
512	communis	Juniperus	Cupressaceae	ruberellus	Dichrooscytus	Mirini	Miridae	6296	8151	36459	73473	63	511	1219	48	9	18.75	13	0	0	0	HIGH
515	contorta	Pinus	Pinaceae	convexifrons	Dichrooscytus	Mirini	Miridae	6296	8151	36459	73516	62	554	707	36	21	58.33	13	0	0	0	HIGH
519	sativa	Medicago	Fabaceae	keltoni	Chlamydatus	Phylini	Miridae	6296	6292	5807	539	211	532	903	226	5	2.21	2	0	0	0	MEDIUM
521	sativa	Medicago	Fabaceae	americanus	Conostethus	Phylini	Miridae	6296	6292	5820	3374	211	532	903	44	4	9.09	1	0	0	0	MEDIUM
525	cana	Artemisia	Asteraceae	inconspicua	Brooksetta	Orthotylini	Miridae	6296	6291	5783	675	98	418	683	94	8	8.51	4	0	0	0	MEDIUM
529	cana	Artemisia	Asteraceae	artemisiae	Chlamydatus	Phylini	Miridae	6296	6292	5807	83	98	418	683	6	3	50.00	4	0	0	0	MEDIUM
532	occidentalis	Symphoricarpos	Caprifoliaceae	pallidicornis	Slaterocoris	Orthotylini	Miridae	6296	6291	6200	2566	136	601	10915	195	16	8.21	8	0	0	0	MEDIUM
540	sativa	Medicago	Fabaceae	dakota	Lopidea	Orthotylini	Miridae	6296	6291	6002	1437	211	532	903	287	11	3.83	5	0	0	0	MEDIUM
548	horizontalis	Juniperus	Cupressaceae	ruberellus	Dichrooscytus	Mirini	Miridae	6296	8151	36459	73473	63	511	4064	48	11	22.92	3	0	0	0	HIGH
549	contorta	Pinus	Pinaceae	rubidus	Dichrooscytus	Mirini	Miridae	6296	8151	36459	73507	62	554	707	17	9	52.94	11	0	0	0	HIGH
554	fruticosa	Potentilla	Rosaceae	hesperia	Dacota	Phylini	Miridae	6296	6292	5837	3483	376	564	752	102	16	15.69	8	0	0	0	HIGH
556	communis	Juniperus	Cupressaceae	alpinus	Dichrooscytus	Mirini	Miridae	6296	8151	36459	73479	63	511	1219	17	9	52.94	4	0	0	0	HIGH
563	banksiana	Pinus	Pinaceae	uhleri	Pilophorus	Pilophorini	Miridae	6296	6293	6127	4625	62	554	671	119	41	34.45	4	0	0	0	HIGH
573	banksiana	Pinus	Pinaceae	amoenus	Pilophorus	Pilophorini	Miridae	6296	6293	6127	4504	62	554	671	118	40	33.90	6	0	0	0	HIGH
578	contorta	Pinus	Pinaceae	rubripes	Pappus	Mirini	Miridae	6296	8151	74294	76221	62	554	707	48	29	60.42	24	0	0	0	HIGH
580	contorta	Pinus	Pinaceae	tibialis	Pilophorus	Pilophorini	Miridae	6296	6293	6127	4620	62	554	707	256	37	14.45	29	0	0	0	MEDIUM_HIGH
582	album	Chenopodium	Amaranthaceae	flavosparsus	Melanotrichus	Orthotylini	Miridae	6296	6291	6029	34918	83	449	638	337	11	3.26	3	0	0	0	MEDIUM
583	ponderosa	Pinus	Pinaceae	apicatus	Ceratocapsus	Ceratocapsini	Miridae	6296	34068	5802	710	62	554	879	86	20	23.26	3	0	0	0	HIGH
584	ponderosa	Pinus	Pinaceae	politus	Phytocoris	Mirini	Miridae	6296	8151	36447	37502	62	554	879	77	27	35.06	15	0	0	0	HIGH
585	tridentata	Artemisia	Asteraceae	inconspicua	Brooksetta	Orthotylini	Miridae	6296	6291	5783	675	98	418	948	94	32	34.04	61	0	0	0	HIGH
586	tridentata	Artemisia	Asteraceae	montana	Phyllopidea	Phylini	Miridae	6296	6292	6121	4447	98	418	948	118	35	29.66	36	0	0	0	HIGH
587	glauca	Picea	Pinaceae	suffuscipennis	Plagiognathus	Phylini	Miridae	6296	6292	6132	368	62	553	760	128	17	13.28	2	0	0	0	MEDIUM
588	ponderosa	Pinus	Pinaceae	stonedahli	Pilophorus	Pilophorini	Miridae	6296	6293	6127	4613	62	554	879	14	11	78.57	11	0	0	0	HIGH
596	tridentata	Artemisia	Asteraceae	unipuncta	Europiella	Phylini	Miridae	6296	6292	5876	28	98	418	948	60	27	45.00	2	0	0	0	HIGH
597	tridentata	Artemisia	Asteraceae	cunealis	Ceratocapsus	Ceratocapsini	Miridae	6296	34068	5802	738	98	418	948	13	6	46.15	4	0	0	0	HIGH
598	contorta	Pinus	Pinaceae	piceicola	Dichaetocoris	Orthotylini	Miridae	6296	6291	5849	926	62	554	707	160	6	3.75	3	0	0	0	MEDIUM
599	ponderosa	Pinus	Pinaceae	ponderosae	Knightomiroides	Phylini	Miridae	6296	6292	5966	6516	62	554	879	7	4	57.14	46	0	0	0	MEDIUM
603	canadensis	Shepherdia	Elaeagnaceae	cincta	Paraproba	Orthotylini	Miridae	6296	6291	6105	2175	197	590	8607	64	4	6.25	9	0	0	0	MEDIUM
605	menziesii	Pseudotsuga	Pinaceae	cooperi	Atractotomus	Phylini	Miridae	6296	6292	5750	2912	62	568	831	147	11	7.48	14	0	0	0	MEDIUM
606	tridentata	Artemisia	Asteraceae	arcuatus	Orectoderus	Pronotocrepini	Miridae	6296	6306	6325	6326	98	418	948	75	8	10.67	2	0	0	0	MEDIUM
609	menziesii	Pseudotsuga	Pinaceae	piceicola	Psallovius	Phylini	Miridae	6296	6292	6153	4788	62	568	831	306	21	6.86	3	0	0	0	MEDIUM
611	ponderosa	Pinus	Pinaceae	americanus	Pilophorus	Pilophorini	Miridae	6296	6293	6127	4503	62	554	879	239	23	9.62	8	0	1	0	MEDIUM
613	tridentata	Purshia	Rosaceae	nigerrimus	Oligotylus	Phylini	Miridae	6296	6292	6073	500	376	569	8758	138	43	31.16	22	0	0	0	HIGH
614	tridentata	Purshia	Rosaceae	ribesi	Plagiognathus	Phylini	Miridae	6296	6292	6132	357	376	569	8758	33	7	21.21	2	0	0	0	HIGH
617	albicaulis	Pinus	Pinaceae	rolfsi	Pinophylus	Phylini	Miridae	6296	6292	6129	358	62	554	636	56	4	7.14	4	0	0	0	MEDIUM
624	lasiocarpa	Abies	Pinaceae	cooperi	Atractotomus	Phylini	Miridae	6296	6292	5750	2912	62	394	800	147	10	6.80	11	0	0	0	MEDIUM
627	lasiocarpa	Abies	Pinaceae	piceicola	Dichaetocoris	Orthotylini	Miridae	6296	6291	5849	926	62	394	800	160	17	10.63	19	0	0	0	MEDIUM
631	lasiocarpa	Abies	Pinaceae	rainieri	Dichrooscytus	Mirini	Miridae	6296	8151	36459	73517	62	394	800	25	15	60.00	42	0	0	0	HIGH
633	lasiocarpa	Abies	Pinaceae	latifrons	Dichrooscytus	Mirini	Miridae	6296	8151	36459	73518	62	394	800	169	9	5.33	2	0	0	0	MEDIUM
634	tridentata	Artemisia	Asteraceae	consors	Europiella	Phylini	Miridae	6296	6292	5876	23	98	418	948	195	35	17.95	3	0	0	0	HIGH
635	tridentata	Artemisia	Asteraceae	decolor	Europiella	Phylini	Miridae	6296	6292	5876	34	98	418	948	732	39	5.33	19	0	0	0	MEDIUM
