Sylibum marianum
Salix amygdaloides
Bassia scoparia
Pinus sylvestris
Populus alba
Capsella bursa-pastoris
Picea glauca
Elaeagnus commutata
Potentilla fruticosa
Lupinus argenteus
Oxytropis splendens
Salix interior
Betula nigra
Ambrosia chamissonis
Pinus contorta
Allium textile
Pinus murrayana
Salix candida
Shepherdia canadensis
Delphinium bicolor
Heracleum lanatum
Artemisia cana
Artemisia frigida
Abies lasiocarpa
Larix lyalli
Medicago sativa
Trifolium repens
Oenothera pallida
Glycyrrhiza lepidota
Senecio canus
Suaeda erecta
Agropyron juncea
Acer negundo
Agropyron cristatum
Salix bebbiana
Psathyrostachys juncea
Phleum pratense
Artemisia biennis
Malvastrum coccineum
Juniperus horizontalis
Juniperus communis
Allium sativum
Galium boreale
Symphoricarpos occidentalis
Brassica napus
Populus tremuloides
Pinus banksiana
Solidago gigantea
Solidago canadensis
Salix myrtillifolia
Medicago saliva
Ceanothus velutinus
Anaphalis margaritacea
Berteroa incana
Pinus ponderosa
Allium vineale
Pseudotsuga menziesii
Artemisia longifolia
Holodiscus discolor
Senecio triangularis
Pinus albicaulis
Clematis ligusticifolia
Artemisia tridentata
Pinus monticola
Leptodactylon pungens
Phacelia linearis
Purshia tridentata
Sisymbrium loeselii
Hesperostipa comata
Sporobolus torreyana
Betula occidentalis
Distichlis spicata
Epilobium latifolium
Potentilla milligrama
Potentilla rivalis
Juniperus scopulorum
Populus trichocarpa
Lupinus parviflorus
Artemisia tilesii
Poa pratensis
Sinapis arvensis
Quercus garryana
Cytisus scoparius
Lupinus sulphureus
Betula nana
Pinus nigra
Robinia pseudoacacia
Quercus robur
Tilia europaea
Fagus sylvatica
Betula papyrifera
Corylus cornuta
Populus nigra
Crataegus douglasii
Symphoricarpos albus
Solanum tuberosum
Beckmannia syzigachne
Picea abies
Alnus sinuata
Prunus emarginata
Tsuga heterophylla
Artemisia dracunculus
Corylus avellana
Salix scouleriana
Betula pendula
Alnus crispa
Alnus viridis
Arbutus menziesii
Alnus rubra
Centaurea nigrescens
Betula rubra
Rubus parviflorus
Prunus avium
Festuca scabrella
Achillea millefolium
Lepidium perfoliatum
Chenopodium album
Atriplex patula
Sisymbrium altissimum
Vicia cracca
Pinus mugo
Ericameria nauseosa
Amelanchier alnifolia
Picea engelmannii
Lupinus arcticus
Sambucus caerulea
Dryas drummondii
Vitus vinifera
Betula lenta
Quercus macrocarpa
Hamamelis virginiana
Astragalus crassicarpus
Kalmia polifolia
Solidago glycyrrhiza
Betula pumila
Rosa arkansana
Salix exigua
Erysimum inconspicuum
Pinus resinosa
Betula lutea
Betula populifolia
Pinus strobus
Chamerion angustifolium
Oxytropis arctica
Tilia cordata
Rhododendron albiflorum
Rhododendron canadense
Heracleum maximum
Tsuga canadensis
Spiraea alba
Cirsium arvense
Tanacetum vulgare
Larix laricina
Salix pedicellaris
Ulmus americana
Cornus racemosa
Spiraea latifolia
Euphorbia cyparissias
Salix humilis
Juglans nigra
Vitis vulpina
Juniperus virginiana
Avena sativa
Physocarpus opulifolius
Chamaesyce maculata
Rhus aromatica
Betula allegheniensis
Aster macrophyllus
Melilotus officinalis
Lonicera japonica
Elaeagnus angustifolia
Larix decidua
Pinus rigida
Acer ginnala
Parthenocissus quinquefolia
Salix babylonica
Thuja occidentalis
Potentilla argentea
Comptonia asplenifolia
Achillea lanulosa
Viburnum edule
Picea mariana
Vitis riparia
Artemisia caudata
Artemisia campestris
Trifolium pratense
