FullnameWithAuthors	FullnameNoAuthors	SourceID	OutputNameID	OutputHowMatched	OutputFullNameWithAuthors	OutputAbbreviatedTitle	OutputCollation	OutputVolume	OutputIssue	OutputPage	OutputTitlePageYear	OutputYearPublished	OutputNomenclatureStatus	OutputBHLLink	OutputBatchID
	Pinus contorta		24900183	FullnameNoAuthors	Pinus contorta Douglas ex Loudon	Arbor. Frutic. Brit.	4: 2292, f. 2210, 2211	4		2292	1838		No opinion		4415
	Picea glauca		24900167	FullnameNoAuthors	Picea glauca (Moench) Voss	Mitt. Deutsch. Dendrol. Ges.	16: 93	16		93	1907	1908	No opinion		4415
	Picea pungens		24900170	FullnameNoAuthors	Picea pungens Engelm.	Gard. Chron., n.s.	11: 334	11		334	1879		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:48390&volume=11&issue=&spage=334&date=1879	4415
	Pinus sylvestris		24900220	FullnameNoAuthors	Pinus sylvestris L.	Sp. Pl.	2: 1000	2		1000	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=1000&date=1753	4415
	Potentilla fruticosa		27800304	FullnameNoAuthors	Potentilla fruticosa L.	Sp. Pl.	1: 495	1		495	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=1&issue=&spage=495&date=1753	4415
	Artemisia frigida		2700137	FullnameNoAuthors	Artemisia frigida Willd.	Sp. Pl.	3(3): 1838	3	3	1838	1803		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:727&volume=3&issue=3&spage=1838&date=1803	4415
	Lupinus argenteus		13036922	FullnameNoAuthors	Lupinus argenteus Pursh	Fl. Amer. Sept.	2: 468	2		468	1814	1813	Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:100&volume=2&issue=&spage=468&date=1814	4415
	Galium boreale		27900078	FullnameNoAuthors	Galium boreale L.	Sp. Pl.	1: 108	1		108	1753		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=1&issue=&spage=108&date=1753	4415
	Populus tremuloides		28300255	FullnameNoAuthors	Populus tremuloides Michx.	Fl. Bor.-Amer.	2: 243	2		243	1803		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:330&volume=2&issue=&spage=243&date=1803	4415
	Salix interior		28300276	FullnameNoAuthors	Salix interior Rowlee	Bull. Torrey Bot. Club	27(5): 253	27	5	253	1900		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:340&volume=27&issue=5&spage=253&date=1900	4415
